unknown,accession_number,size
1,SRR3478691,23646460064
1,SRR3480690,25322894816
1,SRR3480664,25413773792
1,SRR3392871,25913640992
1,SRR3478275,25959408800
1,SRR3481681,26088307232
1,SRR3481448,26373059168
1,SRR3479301,26378016800
1,SRR3480723,26462066720
1,SRR3373599,26575205792
1,SRR3477238,26586401504
1,SRR3489806,26657449952
1,SRR3382609,26902343840
1,SRR3480691,27083576480
1,SRR3481330,27220223264
1,SRR3481452,27233323232
1,SRR3479641,27249312416
1,SRR3481640,27298363424
1,SRR3395650,27461998112
1,SRR3478710,27486260960
1,SRR3476590,27517057376
1,SRR3481317,27520176416
1,SRR3478695,27549068576
1,SRR3499648,27571853984
1,SRR3382552,27573298592
1,SRR3383940,27659285600
1,SRR3538835,27723209504
1,SRR3472896,27749113952
1,SRR3481308,27756566816
1,SRR3478699,27757486112
1,SRR3479745,27880310624
1,SRR3526057,27911336864
1,SRR3480643,27976212896
1,SRR3480718,27977756000
1,SRR3440345,28013838368
1,SRR3476444,28013969696
1,SRR3529047,28110692768
1,SRR3476862,28248981152
1,SRR3481321,28305255200
1,SRR3466510,28323082976
1,SRR3481309,28337397728
1,SRR3481675,28416621344
1,SRR3480022,28427061920
1,SRR3479266,28513672736
1,SRR3471620,28532649632
1,SRR3382878,28544108000
1,SRR3480315,28557963104
1,SRR3479001,28572179360
1,SRR3439989,28609936160
1,SRR3478694,28665192416
1,SRR3478702,28752492704
1,SRR3493409,28754429792
1,SRR3476960,28765165856
1,SRR3478942,28776328736
1,SRR3396232,28792613408
1,SRR3472945,28798194848
1,SRR3380604,28824000800
1,SRR3472946,28843076192
1,SRR3381364,28851908000
1,SRR3481708,28867667360
1,SRR3395147,28985402912
1,SRR3480675,29059964384
1,SRR3489529,29082322976
1,SRR3479309,29149595744
1,SRR3378323,29200452512
1,SRR3440041,29211221408
1,SRR3479270,29230756448
1,SRR3390767,29240409056
1,SRR3374120,29253312032
1,SRR3481504,29299637984
1,SRR3485018,29313952736
1,SRR3482356,29319468512
1,SRR3478777,29352366176
1,SRR3386165,29364842336
1,SRR3481305,29467606496
1,SRR3480680,29492427488
1,SRR5044718,29618962016
1,SRR3476344,29676122528
1,SRR3441539,29686595936
1,SRR3386856,29729605856
1,SRR3497347,29804626976
1,SRR3481310,29812178336
1,SRR3478720,29832599840
1,SRR3381348,29875675424
1,SRR3478999,29943506336
1,SRR3481289,29944622624
1,SRR3478743,29977421792
1,SRR3481584,29979129056
1,SRR3482433,30001980128
1,SRR3379331,30011993888
1,SRR3480669,30044300576
1,SRR3404500,30054642656
1,SRR3481326,30110883872
1,SRR3496902,30197593184
1,SRR3480599,30242737184
1,SRR3478714,30254556704
1,SRR3481670,30265982240
1,SRR3478700,30289358624
1,SRR3478300,30302524256
1,SRR3477963,30330858272
1,SRR3478907,30337391840
1,SRR3481318,30368319584
1,SRR3382626,30370092512
1,SRR3482139,30370781984
1,SRR3478704,30379613792
1,SRR3478712,30407356832
1,SRR3481672,30465042656
1,SRR3395042,30566756192
1,SRR3479274,30637509152
1,SRR3478769,30637607648
1,SRR3479282,30727206176
1,SRR3481451,30823994912
1,SRR3529270,30828657056
1,SRR3478719,30834304160
1,SRR3478696,30858238688
1,SRR3481455,30888181472
1,SRR3395763,30961757984
1,SRR3398688,30976893536
1,SRR3476058,31042984352
1,SRR3389796,31101786464
1,SRR3494746,31116298208
1,SRR3474173,31164429920
1,SRR3478764,31178219360
1,SRR3481311,31182454688
1,SRR3478903,31192599776
1,SRR3481674,31203565664
1,SRR3479278,31207538336
1,SRR3382013,31263779552
1,SRR3480608,31297563680
1,SRR3481323,31331479136
1,SRR3480062,31371731168
1,SRR3478776,31376984288
1,SRR3478717,31429088672
1,SRR3481297,31438806944
1,SRR3479298,31471606112
1,SRR3474208,31503912800
1,SRR3439039,31693123616
1,SRR3481635,31713939104
1,SRR3481574,31722212768
1,SRR3479642,31778421152
1,SRR3492215,31831773152
1,SRR3383262,31853146784
1,SRR3483692,31859220704
1,SRR3478794,32060218208
1,SRR3474032,32065766816
1,SRR3482149,32086779296
1,SRR3481324,32101389536
1,SRR3383188,32143086176
1,SRR3452600,32166922208
1,SRR3479000,32193319136
1,SRR3479753,32209045664
1,SRR3384403,32294540192
1,SRR3395541,32337779936
1,SRR3481665,32447405984
1,SRR3477283,32484473312
1,SRR3471460,32501447456
1,SRR3478902,32536512032
1,SRR3479633,32556867872
1,SRR3481592,32694401120
1,SRR3478768,32747785952
1,SRR3479750,32848383200
1,SRR3478757,33004006880
1,SRR3476899,33020521376
1,SRR3382559,33063728288
1,SRR3480613,33370477664
1,SRR3482144,33458303264
1,SRR3480604,33632641184
1,SRR3478911,33677785184
1,SRR3499587,33735306848
1,SRR3480314,33875532320
1,SRR3479754,33945956960
1,SRR3481593,34020354272
1,SRR3480630,34125121184
1,SRR3388142,34172464928
1,SRR3478946,34208645792
1,SRR3479637,34250539424
1,SRR3480584,34322540000
1,SRR3478770,34394212256
1,SRR3481295,34569699296
1,SRR3480074,34655587808
1,SRR3480719,34698170912
1,SRR3480030,34823621984
1,SRR3480623,34897329824
1,SRR3407178,35058469280
1,SRR3478718,35101282208
1,SRR3481329,35203225568
1,SRR3478708,35335735520
1,SRR3392404,35402220320
1,SRR3481662,35689139168
1,SRR3386406,36010531616
1,SRR3478742,36090740192
1,SRR3481286,36431963168
1,SRR3478707,36535351136
1,SRR3483262,36618416096
1,SRR3484961,36684736736
1,SRR3529690,36702991328
1,SRR3480666,36741667424
1,SRR3401645,36771511712
1,SRR3480647,36795347744
1,SRR3480562,36863703968
1,SRR3479275,36867446816
1,SRR3480668,36868563104
1,SRR3389932,36886653536
1,SRR3481459,36930714080
1,SRR3481580,36940924832
1,SRR3476977,37082594912
1,SRR3452289,37181944544
1,SRR3479308,37241994272
1,SRR3484967,37296495392
1,SRR3481582,37413902624
1,SRR3479280,37454712800
1,SRR3478918,37462231328
1,SRR3479825,37488070112
1,SRR3479752,37503008672
1,SRR3478747,37508590112
1,SRR3478741,37532360480
1,SRR3482334,37587912224
1,SRR3476964,37615950752
1,SRR3481540,37643135648
1,SRR3479635,37665756896
1,SRR3479272,37695568352
1,SRR3478908,37750496288
1,SRR3389804,37767930080
1,SRR3481328,37790649824
1,SRR3481542,37829260256
1,SRR3484962,37868724320
1,SRR3478798,37884286688
1,SRR3481343,37884647840
1,SRR3479900,37947159968
1,SRR3480312,37949129888
1,SRR3481709,37969190240
1,SRR3481657,38021688608
1,SRR3481642,38028944480
1,SRR3479749,38061415328
1,SRR3482332,38064304544
1,SRR3466509,38093163872
1,SRR3395982,38097760352
1,SRR3481518,38102061344
1,SRR3529803,38107281632
1,SRR3479279,38131183328
1,SRR3478780,38142083552
1,SRR3481583,38158105568
1,SRR3481954,38190904736
1,SRR3479746,38217432992
1,SRR3439010,38246259488
1,SRR3480066,38248951712
1,SRR3439556,38253909344
1,SRR3478767,38257028384
1,SRR3481327,38296787936
1,SRR3478906,38303551328
1,SRR3481541,38305258592
1,SRR3480716,38317866080
1,SRR3473404,38321182112
1,SRR3480622,38326566560
1,SRR3452716,38332279328
1,SRR3479285,38347250720
1,SRR3481502,38361138656
1,SRR3481639,38399716256
1,SRR3478910,38431596128
1,SRR3478701,38436488096
1,SRR3481713,38442365024
1,SRR3478709,38469090272
1,SRR3481503,38481894752
1,SRR3482333,38482124576
1,SRR3481342,38489511776
1,SRR3479281,38494699232
1,SRR3481638,38507470880
1,SRR3478761,38520406688
1,SRR3478276,38523460064
1,SRR3481712,38545752992
1,SRR3481287,38551104608
1,SRR3478751,38567454944
1,SRR3481325,38570672480
1,SRR3481815,38588927072
1,SRR3480749,38603602976
1,SRR3481332,38615258336
1,SRR3479271,38630065568
1,SRR3481457,38642705888
1,SRR3485443,38651078048
1,SRR3478909,38673830624
1,SRR3482361,38690542112
1,SRR3479747,38761196576
1,SRR3479727,38780895776
1,SRR3482355,38784146144
1,SRR3482330,38788053152
1,SRR3481664,38826138272
1,SRR3480026,38851615904
1,SRR3479632,38858838944
1,SRR3478752,38860053728
1,SRR3482359,38884185248
1,SRR3483261,38886943136
1,SRR3480678,38909794208
1,SRR3439583,38917279904
1,SRR3480585,38920661600
1,SRR3483258,38937931232
1,SRR3479748,38953920416
1,SRR3481816,38960650976
1,SRR3479774,38962062752
1,SRR3479782,38962752224
1,SRR3480649,38982845408
1,SRR3481346,39039644768
1,SRR3480648,39111678176
1,SRR3478900,39119951840
1,SRR3481968,39136236512
1,SRR3478781,39138830240
1,SRR3438457,39145429472
1,SRR3481361,39159087584
1,SRR3401038,39168247712
1,SRR3530190,39182102816
1,SRR3478796,39234732512
1,SRR3481354,39236012960
1,SRR3481331,39242842016
1,SRR3480065,39309228320
1,SRR3401910,39319307744
1,SRR3481644,39355455776
1,SRR3481682,39395346656
1,SRR3478919,39398432864
1,SRR3479350,39412878944
1,SRR3481814,39414717536
1,SRR3480600,39426898208
1,SRR3478756,39430772384
1,SRR3481663,39471352736
1,SRR3480073,39479856224
1,SRR3482432,39491248928
1,SRR3440048,39513115040
1,SRR3480748,39518204000
1,SRR3479631,39541219232
1,SRR3481969,39543944288
1,SRR3479283,39559244000
1,SRR3478763,39570932192
1,SRR3478795,39583999328
1,SRR3482141,39611020064
1,SRR3439032,39621362144
1,SRR3478792,39641783648
1,SRR3479269,39679901600
1,SRR3466642,39713357408
1,SRR3485450,39727606496
1,SRR3404019,39731776160
1,SRR3477282,39738638048
1,SRR3395913,39742183904
1,SRR3481362,39746846048
1,SRR3479021,39757483616
1,SRR3478791,39763656032
1,SRR3481711,39780236192
1,SRR3478793,39794058464
1,SRR3481316,39850135520
1,SRR3480621,39851514464
1,SRR3479304,39856176608
1,SRR3407156,39866650016
1,SRR3480587,39868390112
1,SRR3481676,39876171296
1,SRR3480694,39897807584
1,SRR3404267,39903684512
1,SRR3481550,39912516320
1,SRR3481710,39928636832
1,SRR3472348,39968757536
1,SRR3480641,39984582560
1,SRR3479988,40008779744
1,SRR3479781,40036686944
1,SRR3482365,40041119264
1,SRR3481581,40044993440
1,SRR3478746,40057174112
1,SRR3471381,40069453280
1,SRR3481543,40141749344
1,SRR3489517,40145065376
1,SRR3401424,40163648288
1,SRR3481956,40177667552
1,SRR3478749,40178521184
1,SRR3481353,40210039904
1,SRR3480028,40256924000
1,SRR3439403,40266806432
1,SRR3482357,40283058272
1,SRR3481322,40288048736
1,SRR3400821,40336837088
1,SRR3407097,40353450080
1,SRR3480294,40362774368
1,SRR3472262,40375053536
1,SRR3396173,40403486048
1,SRR3478966,40408706336
1,SRR3482358,40470364832
1,SRR3401503,40470430496
1,SRR3478740,40498567520
1,SRR3481575,40503065504
1,SRR3481579,40531563680
1,SRR3481812,40544565152
1,SRR3479726,40546075424
1,SRR3481351,40553396960
1,SRR3478920,40561243808
1,SRR3480317,40571881376
1,SRR3478705,40577758304
1,SRR3480313,40579465568
1,SRR3482366,40593189344
1,SRR3481586,40609178528
1,SRR3478703,40619980256
1,SRR3480064,40623263456
1,SRR3479265,40630650656
1,SRR3481545,40637578208
1,SRR3481519,40645851872
1,SRR3441544,40651794464
1,SRR3479284,40652877920
1,SRR3453073,40653173408
1,SRR3481456,40743297248
1,SRR3474223,40796944736
1,SRR3481344,40808698592
1,SRR3479937,40809650720
1,SRR3480747,40811325152
1,SRR3481341,40812802592
1,SRR3478744,40854893216
1,SRR3438990,40860638816
1,SRR3479630,40864086176
1,SRR3479935,40878794912
1,SRR3480629,40935364448
1,SRR3478750,40943079968
1,SRR3484968,40993805408
1,SRR3480987,40997679584
1,SRR3481588,41004081824
1,SRR3479990,41006412896
1,SRR3529722,41059272416
1,SRR3458561,41062522784
1,SRR3496458,41077494176
1,SRR3438066,41082681632
1,SRR3481585,41083732256
1,SRR3481355,41097357536
1,SRR3480640,41116203104
1,SRR2166252,41144832608
1,SRR3481813,41157111776
1,SRR3479634,41185183136
1,SRR3480667,41219689568
1,SRR3471190,41437464224
1,SRR3396243,41470985696
1,SRR3479934,41482673888
1,SRR2165983,41517475808
1,SRR3481345,41645093792
1,SRR3478748,41656026848
1,SRR3478914,41726976800
1,SRR3481290,41820876320
1,SRR3400757,41843333408
1,SRR3480717,41909325728
1,SRR3478762,41954633888
1,SRR3529649,41976106016
1,SRR3481348,41997709472
1,SRR3482360,42010513952
1,SRR3478901,42067740128
1,SRR3481340,42158651936
1,SRR2164784,42195620768
1,SRR3481300,42282100256
1,SRR3481347,42293624288
1,SRR2167424,42436706144
1,SRR3482424,42528832736
1,SRR3484963,42553095584
1,SRR2165240,42617380640
1,SRR3406934,42720308960
1,SRR3479307,42748675808
1,SRR2167338,42904299488
1,SRR3480660,43081428128
1,SRR3480642,43166003360
1,SRR2167006,43192630112
1,SRR2166942,43245259808
1,SRR2165091,43270901600
1,SRR3401423,43319854112
1,SRR2156276,43379083040
1,SRR2164808,43447767584
1,SRR3481591,43588715360
1,SRR3479636,43667216672
1,SRR3478797,43678281056
1,SRR2168811,43783507616
1,SRR2157417,43809970208
1,SRR3481546,43840930784
1,SRR2167752,44015761184
1,SRR2157199,44081720672
1,SRR2170043,44102010848
1,SRR2165442,44184714656
1,SRR2167113,44327599520
1,SRR2167474,44363222240
1,SRR2166059,44429477216
1,SRR2164514,44470188896
1,SRR2163846,44515497056
1,SRR2165707,44549642336
1,SRR2166613,44638354400
1,SRR2166642,44685632480
1,SRR2167156,44805272288
1,SRR2167011,44874120992
1,SRR2167499,44882919968
1,SRR2164345,44923598816
1,SRR2157500,44945629088
1,SRR3481590,45355241120
1,SRR2164775,45423630176
1,SRR2166936,45436303328
1,SRR2167165,45544977248
1,SRR3481957,45568878944
1,SRR2166954,45667604768
1,SRR2167637,45864268448
1,SRR2165734,45924219680
1,SRR3479273,45950288288
1,SRR3478745,46005052064
1,SRR2163074,46034371040
1,SRR3481643,46098951584
1,SRR2165672,46143143456
1,SRR2164760,46201223264
1,SRR2166510,46210252064
1,SRR3496000,46267905056
1,SRR2165627,46269415328
1,SRR3481641,46281661664
1,SRR2167403,46401170144
1,SRR3481549,46537849760
1,SRR2165469,46609817504
1,SRR3479824,46624657568
1,SRR3476066,46655060000
1,SRR3479305,46732313696
1,SRR3480661,46740554528
1,SRR3479776,46852248992
1,SRR2167320,46874312096
1,SRR2167149,46895521568
1,SRR2164530,47067495584
1,SRR3482142,47135818976
1,SRR2166348,47146981856
1,SRR2170777,47236514720
1,SRR3478916,47374310624
1,SRR3493434,47519887712
1,SRR3483259,47533151840
1,SRR3499158,47569464032
1,SRR3473996,47575833440
1,SRR2157441,47593956704
1,SRR3481301,47756376608
1,SRR2166917,47922440864
1,SRR2167600,48072844256
1,SRR2167793,48112111328
1,SRR2167076,48118250912
1,SRR2165436,48276172832
1,SRR3480644,48486067808
1,SRR3479775,48496574048
1,SRR2167626,48500513888
1,SRR2165852,48648159392
1,SRR2166838,49077372128
1,SRR2164480,49233094304
1,SRR2156726,49277286176
1,SRR2165148,49357855904
1,SRR2167100,49524970784
1,SRR2167262,49652358944
1,SRR3477208,49966397024
1,SRR2170047,50272686752
1,SRR3481349,50279909792
1,SRR3481356,50384840864
1,SRR2165974,50492431328
1,SRR3480067,50492923808
1,SRR2170659,50681149664
1,SRR2166054,50859985568
1,SRR2168808,51111413024
1,SRR2167595,51783385568
1,SRR2165573,51959890400
1,SRR2157404,51994396832
1,SRR3481959,52032678944
1,SRR2166703,52110917600
1,SRR2167534,52580119712
1,SRR3496118,52742999264
1,SRR3499638,52783842272
1,SRR3496461,53351770208
1,SRR2165893,53465073440
1,SRR2157433,53500794656
1,SRR2170258,53511497888
1,SRR2167196,53571514784
1,SRR3480627,53674049120
1,SRR2168805,53725956512
1,SRR2165245,54188822048
1,SRR3480671,54265878752
1,SRR2167248,54873139424
1,SRR3480737,55081359968
1,SRR3480601,55476788576
1,SRR2156397,55659203168
1,SRR2168741,55844047328
1,SRR3478782,55847429024
1,SRR3393570,56380981856
1,SRR2170830,56921724896
1,SRR2167446,57206706656
1,SRR3478896,58193439584
1,SRR3481658,58799321312
1,SRR2166108,58858550240
1,SRR2165675,59364261536
1,SRR3480681,59523792224
1,SRR2167478,59813271968
1,SRR3484964,59877195872
1,SRR2165849,59945847584
1,SRR3386142,60511575776
1,SRR3482362,61164604256
1,SRR2165161,61201507424
1,SRR2164817,61236604832
1,SRR2165234,61504612448
1,SRR3478912,61846163744
1,SRR2170854,62075987744
1,SRR2167325,62098379168
1,SRR3481547,62733678368
1,SRR2157426,62744644256
1,SRR2166862,62748518432
1,SRR2157407,62873509856
1,SRR2166354,62987633888
1,SRR2166105,63478209632
1,SRR2156114,63670473824
1,SRR3482147,64197657248
1,SRR2165027,64225236128
1,SRR3482284,64583827232
1,SRR2165517,64686295904
1,SRR2166272,65789254112
1,SRR2164917,65937424928
1,SRR2164891,66083461664
1,SRR3485444,66200704736
1,SRR2165704,66222669344
1,SRR2165858,66223391648
1,SRR2167966,66677589536
1,SRR2167592,66868409120
1,SRR2157265,67170200864
1,SRR2167329,67257927968
1,SRR2165088,67364861792
1,SRR2167947,67370673056
1,SRR2157423,67733236832
1,SRR2167681,67978656032
1,SRR2166912,68010240416
1,SRR2167268,68219183264
1,SRR2166358,68455015520
1,SRR2164517,68794202912
1,SRR2166295,69129417632
1,SRR2170677,69714812192
1,SRR2155766,69914036768
1,SRR2165740,70086174944
1,SRR2170759,70417055840
1,SRR2166521,70540175840
1,SRR2167390,70641626720
1,SRR2165567,70992009824
1,SRR2157395,71126982176
1,SRR2170628,71321610272
1,SRR2164750,71397058208
1,SRR3482426,72238049888
1,SRR2167024,72383988128
1,SRR2170255,72515348960
1,SRR2165370,73449911840
1,SRR2166518,73805712224
1,SRR2168329,74022272096
1,SRR2167411,74521055840
1,SRR2165094,74938252064
1,SRR2167374,75712529120
1,SRR2166639,75924459680
1,SRR2167175,77254877984
1,SRR2166846,77499443552
1,SRR2164888,77715412448
1,SRR2170756,77916048800
1,SRR2170631,78100039328
1,SRR2165270,82625438048
1,SRR2157516,83747668640
1,SRR2167606,89609001440
1,SRR2165757,94188244640
2,SRR2155717,105412487648
